Feature,Importance_Mean,Importance_Std
Destination Port,0.0011378809965654879,7.157287004656124e-05
Init_Win_bytes_forward,8.985252340290017e-05,3.622951514465672e-05
FIN Flag Count,5.859489402915141e-05,0.0
Init_Win_bytes_backward,3.906112668214945e-05,2.1394158851597914e-05
Bwd Header Length,1.9530868448303096e-05,0.0
Bwd Packet Length Min,1.9530868448303096e-05,0.0
Fwd Header Length.1,1.9530868448303096e-05,0.0
Subflow Fwd Bytes,1.9530868448303096e-05,0.0
URG Flag Count,1.5624847334616553e-05,1.4615808306944267e-05
Bwd Packets/s,1.5624694758642477e-05,7.812347379321239e-06
Total Length of Bwd Packets,1.5624694758642477e-05,7.81234737932124e-06
Total Backward Packets,1.5624694758642477e-05,7.812347379321239e-06
Fwd Packet Length Mean,1.5624694758642477e-05,7.812347379321239e-06
ACK Flag Count,1.5624694758642477e-05,7.812347379321239e-06
Packet Length Mean,1.5624694758642477e-05,7.812347379321239e-06
